epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.4077,1.00353,0.74074,1,0.6958,0.000463102,0.000463102,0.000463102
2,16.1823,0.82569,0.88889,1,0.32275,0.000892933,0.000892933,0.000892933
3,19.7455,0.75498,0.77778,1,0.60596,0.00127561,0.00127561,0.00127561
4,23.0385,0.68604,0.74074,1,1.18262,0.00121679,0.00121679,0.00121679
5,26.5977,0.68266,0.74074,1,0.59473,0.00114606,0.00114606,0.00114606
6,29.8627,0.63209,0.77778,1,0.56445,0.00107532,0.00107532,0.00107532
7,33.1695,0.62472,0.7037,1,0.62744,0.00100459,0.00100459,0.00100459
8,36.5748,0.54249,0.77778,1,0.77051,0.000933851,0.000933851,0.000933851
9,39.7933,0.48354,0.77778,1,0.66504,0.000863116,0.000863116,0.000863116
10,43.0109,0.48452,0.85185,1,0.30591,0.00079238,0.00079238,0.00079238
11,76.0368,0.45633,0.88889,1,0.4375,0.000721645,0.000721645,0.000721645
12,79.424,0.43465,0.92593,1,0.4646,0.000650909,0.000650909,0.000650909
13,82.9441,0.3635,0.88889,1,0.34619,0.000580174,0.000580174,0.000580174
14,86.3845,0.36238,0.74074,1,0.63135,0.000509438,0.000509438,0.000509438
15,89.6848,0.28915,0.85185,1,0.66162,0.000438703,0.000438703,0.000438703
16,92.8018,0.30634,0.81481,1,0.64551,0.000367967,0.000367967,0.000367967
17,96.541,0.2875,0.81481,1,0.62451,0.000297232,0.000297232,0.000297232
18,99.7673,0.2782,0.85185,1,0.47656,0.000226497,0.000226497,0.000226497
19,102.914,0.25841,0.81481,1,0.44482,0.000155761,0.000155761,0.000155761
20,106.099,0.19611,0.85185,1,0.42896,8.50255e-05,8.50255e-05,8.50255e-05
